Ticker,Date,Type,Exchange,ExDate,RecordDate,ExecutionDate,Content,SourceURL
AGG,2024-08-07,Trả cổ tức bằng cổ phiếu,HOSE,2024-08-07,2024-08-08,,"Trả cổ tức  năm 2023  bằng cổ phiếu, tỷ lệ 100:25",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=AGG
AGG,2022-12-07,Trả cổ tức bằng cổ phiếu,HOSE,2022-12-07,2022-12-08,,"Trả cổ tức  năm 2021  bằng cổ phiếu, tỷ lệ 100:10",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=AGG
AGG,2022-01-25,Trả cổ tức bằng cổ phiếu,HOSE,2022-01-25,2022-01-26,,"Trả cổ tức  năm 2020  bằng cổ phiếu, tỷ lệ 100:10",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=AGG
AGG,2022-01-25,Phát hành thêm,HOSE,2022-01-25,2022-01-26,,"Thực hiện quyền mua cổ phiếu phát hành thêm, tỷ lệ 4:1, giá 10,000 đồng/CP",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=AGG
AGG,2020-08-27,Trả cổ tức bằng cổ phiếu,HOSE,2020-08-27,2020-08-28,,"Trả cổ tức  năm 2019  bằng cổ phiếu, tỷ lệ 100:10",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=AGG
BCM,2024-11-04,Trả cổ tức bằng tiền mặt,HOSE,2024-11-04,2024-11-05,2024-12-27,"Trả cổ tức  năm 2023  bằng tiền, 1,000 đồng/CP",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=BCM
BCM,2023-11-28,Trả cổ tức bằng tiền mặt,HOSE,2023-11-28,2023-11-29,2023-12-29,"Trả cổ tức  năm 2022  bằng tiền, 800 đồng/CP",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=BCM
BCM,2022-10-07,Trả cổ tức bằng tiền mặt,HOSE,2022-10-07,2022-10-10,2022-10-28,"Trả cổ tức  năm 2021  bằng tiền, 700 đồng/CP",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=BCM
BCM,2021-12-10,Trả cổ tức bằng tiền mặt,HOSE,2021-12-10,2021-12-13,2021-12-30,"Trả cổ tức  đợt 2/2020 bằng tiền, 400 đồng/CP",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=BCM
BCM,2021-07-22,Trả cổ tức bằng tiền mặt,HOSE,2021-07-22,2021-07-23,2021-09-06,"Trả cổ tức  năm 2020  bằng tiền, 400 đồng/CP",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=BCM
BCM,2020-11-25,Trả cổ tức bằng tiền mặt,HOSE,2020-11-25,2020-11-26,2020-12-22,"Trả cổ tức  năm 2019  bằng tiền, 400 đồng/CP",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=BCM
BCM,2019-06-27,Trả cổ tức bằng tiền mặt,HOSE,2019-06-27,2019-06-28,2019-08-01,"Trả cổ tức  năm 2018  bằng tiền, 600 đồng/CP",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=BCM
CRE,2022-08-15,Thưởng cổ phiếu,HOSE,2022-08-15,2022-08-16,,"Thưởng cổ phiếu, tỷ lệ 100:30",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=CRE
CRE,2022-08-15,Phát hành thêm,HOSE,2022-08-15,2022-08-16,,"Thực hiện quyền mua cổ phiếu phát hành thêm, tỷ lệ 1:1, giá 10,000 đồng/CP",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=CRE
CRE,2021-09-14,Trả cổ tức bằng cổ phiếu,HOSE,2021-09-14,2021-09-15,,"Trả cổ tức  năm 2020  bằng cổ phiếu, tỷ lệ 100:10",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=CRE
CRE,2021-09-14,Phát hành thêm,HOSE,2021-09-14,2021-09-15,,"Thực hiện quyền mua cổ phiếu phát hành thêm, tỷ lệ 100:95, giá 10,000 đồng/CP",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=CRE
CRE,2020-12-29,Thưởng cổ phiếu,HOSE,2020-12-29,2020-12-30,,"Thưởng cổ phiếu, tỷ lệ 100:20",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=CRE
CRE,2020-09-28,Trả cổ tức bằng tiền mặt,HOSE,2020-09-28,2020-09-29,2020-10-19,"Trả cổ tức  năm 2019  bằng tiền, 1,000 đồng/CP",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=CRE
CRE,2019-02-14,Trả cổ tức bằng cổ phiếu,HOSE,2019-02-14,2019-02-15,,"Trả cổ tức  năm 2018  bằng cổ phiếu, tỷ lệ 100:15",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=CRE
CRE,2019-02-14,Thưởng cổ phiếu,HOSE,2019-02-14,2019-02-15,,"Thưởng cổ phiếu, tỷ lệ 100:45",https://finance.vietstock.vn/lich-su-kien.htm?page=1&tab=1&code=CRE
