ticker,metric,unit,period,value,raw
AGG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q2/2024,2558.36,"2,558.36"
AGG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q3/2024,2253.22,"2,253.22"
AGG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q4/2024,2148.32,"2,148.32"
AGG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q1/2025,729.91,729.91
AGG,Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),VNĐ,Q2/2025,1039.68,"1,039.68"
AGG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q2/2024,24711.0,"24,711"
AGG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q3/2024,19924.0,"19,924"
AGG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q4/2024,19302.0,"19,302"
AGG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q1/2025,19351.0,"19,351"
AGG,Giá trị sổ sách của cổ phiếu (BVPS),VNĐ,Q2/2025,19853.0,"19,853"
AGG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q2/2024,9.3,9.3
AGG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q3/2024,7.39,7.39
AGG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q4/2024,7.17,7.17
AGG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q1/2025,22.47,22.47
AGG,Chỉ số giá thị trường trên thu nhập (P/E),Lần,Q2/2025,15.92,15.92
AGG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q2/2024,0.96,0.96
AGG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q3/2024,0.84,0.84
AGG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q4/2024,0.8,0.8
AGG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q1/2025,0.85,0.85
AGG,Chỉ số giá thị trường trên giá trị sổ sách (P/B),Lần,Q2/2025,0.83,0.83
AGG,Tỷ suất lợi nhuận gộp biên,%,Q2/2024,16.45,16.45
AGG,Tỷ suất lợi nhuận gộp biên,%,Q3/2024,19.56,19.56
AGG,Tỷ suất lợi nhuận gộp biên,%,Q4/2024,44.23,44.23
AGG,Tỷ suất lợi nhuận gộp biên,%,Q1/2025,39.34,39.34
AGG,Tỷ suất lợi nhuận gộp biên,%,Q2/2025,85.29,85.29
AGG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q2/2024,0.92,0.92
AGG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q3/2024,9.0,9
AGG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q4/2024,12.93,12.93
AGG,Tỷ suất sinh lợi trên doanh thu thuần,%,Q1/2025,4.21,4.21
