Ticker,Sector
AGG,Bất động sản
BCM,Bất động sản
CRE,Bất động sản
DIG,Bất động sản
DXG,Bất động sản
DXS,Bất động sản
HDC,Bất động sản
KBC,Bất động sản
KDH,Bất động sản
KOS,Bất động sản
NLG,Bất động sản
PDR,Bất động sản
SJS,Bất động sản
VHM,Bất động sản
VIC,Bất động sản
VPI,Bất động sản
VRE,Bất động sản
IDC,Bất động sản
VCS,Bất động sản
BCG,Công nghiệp
CII,Công nghiệp
CTD,Công nghiệp
CTR,Công nghiệp
GEX,Công nghiệp
GMD,Công nghiệp
HDG,Công nghiệp
HHV,Công nghiệp
PC1,Công nghiệp
PTB,Công nghiệp
REE,Công nghiệp
SCS,Công nghiệp
SZC,Công nghiệp
TCH,Công nghiệp
TLG,Công nghiệp
VCG,Công nghiệp
VJC,Công nghiệp
CMG,Công nghệ thông tin
DGW,Công nghệ thông tin
FPT,Công nghệ thông tin
BWE,Dịch vụ tiện ích
GAS,Dịch vụ tiện ích
NT2,Dịch vụ tiện ích
POW,Dịch vụ tiện ích
PPC,Dịch vụ tiện ích
VSH,Dịch vụ tiện ích
FRT,Hàng tiêu dùng không thiết yếu
MWG,Hàng tiêu dùng không thiết yếu
PNJ,Hàng tiêu dùng không thiết yếu
ANV,Hàng tiêu dùng thiết yếu
ASM,Hàng tiêu dùng thiết yếu
DBC,Hàng tiêu dùng thiết yếu
HAG,Hàng tiêu dùng thiết yếu
KDC,Hàng tiêu dùng thiết yếu
MSN,Hàng tiêu dùng thiết yếu
PAN,Hàng tiêu dùng thiết yếu
SAB,Hàng tiêu dùng thiết yếu
SBT,Hàng tiêu dùng thiết yếu
VHC,Hàng tiêu dùng thiết yếu
VNM,Hàng tiêu dùng thiết yếu
AAA,Nguyên vật liệu
BMP,Nguyên vật liệu
DCM,Nguyên vật liệu
DGC,Nguyên vật liệu
DHC,Nguyên vật liệu
DPM,Nguyên vật liệu
GVR,Nguyên vật liệu
HPG,Nguyên vật liệu
HSG,Nguyên vật liệu
HT1,Nguyên vật liệu
NKG,Nguyên vật liệu
PHR,Nguyên vật liệu
VGC,Nguyên vật liệu
PLX,Năng lượng
PVD,Năng lượng
PVT,Năng lượng
ACB,Tài chính
BID,Tài chính
BSI,Tài chính
BVH,Tài chính
CTG,Tài chính
EIB,Tài chính
EVF,Tài chính
FTS,Tài chính
HCM,Tài chính
HDB,Tài chính
LPB,Tài chính
MBB,Tài chính
MSB,Tài chính
OCB,Tài chính
SHB,Tài chính
SSB,Tài chính
SSI,Tài chính
STB,Tài chính
TCB,Tài chính
TPB,Tài chính
VCB,Tài chính
VCI,Tài chính
VIB,Tài chính
VIX,Tài chính
VND,Tài chính
VPB,Tài chính
IMP,Y tế
