Ticker,Sector,LastClose,PreviousClose,Volume,LastPrice,ChangePct,LastUpdated,PriceSource,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,RSI_14,ATR_14,ATRPct_14,MACD_Hist,Z_20,Return_20,Return_60,ADV_20,Hi_252,Lo_252,PctFromHi_252,PctToLo_252
AAA,Nguyên vật liệu,7.57,7.59,105400.0,7.59,0.0,2025-10-28 10:21:00,intraday,7.9435,8.0772,7.786375,7.856080822119386,7.982027221090033,37.32405401126053,0.18684750732523678,2.4682629765553075,-0.04216028330638047,-1.2455628156208616,-7.682926829268277,-11.045828437132776,1684505.0,8.93,6.146,-15.229563269876811,23.169541164985354
ACB,Tài chính,25.2,25.0,1940700.0,25.2,0.8000000000000007,2025-10-28 10:21:00,intraday,25.877500000000005,26.362000000000002,22.771744999999996,25.626643369053827,25.574528363385724,42.25259950748382,0.5531281386105542,2.194952930994263,-0.12501284306453686,-0.8895052359313141,-1.176470588235301,9.565217391304337,14789210.0,29.5,17.337,-14.576271186440682,45.353867451116116
AGG,Bất động sản,16.05,16.1,146800.0,16.0,-0.6211180124223725,2025-10-28 10:21:00,intraday,17.689999999999998,19.082,17.35175,17.43843638016773,18.366018332806455,23.362835833326614,0.6204544394990782,3.865759747657808,-0.16986824481635443,-1.2960436536962032,-18.527918781725884,-20.544554455445542,570045.0,22.1,14.15,-27.37556561085973,13.427561837455837
ANV,Hàng tiêu dùng thiết yếu,27.9,28.8,886300.0,27.85,-3.298611111111105,2025-10-28 10:21:00,intraday,29.968849999999996,27.930239999999998,20.262469999999997,29.365569404454064,27.832441640175478,44.242772928080576,1.5415083054462186,5.525119374359207,-0.4006008182647549,-1.5954552545103644,-0.10741138560688146,25.851414136857763,3402445.0,33.399,12.004,-16.464564807329563,132.42252582472508
ASM,Hàng tiêu dùng thiết yếu,6.81,6.84,117300.0,6.8,-0.5847953216374324,2025-10-28 10:21:00,intraday,7.2789,7.5362,7.10229,7.162367240517443,7.378832559072951,35.193532982043706,0.23939721058730476,3.5153775416638,-0.04910592063050226,-0.982079412701783,-15.832406377456431,-6.481735786871745,1071280.0,8.673,5.355,-21.480456589415432,27.170868347338928
BCG,Công nghiệp,2.53,2.53,0.0,2.53,0.0,2025-10-28,close,2.6075,3.182,3.7897,2.68036241337647,3.00595370571507,19.286643379754736,0.04988314644727511,1.9716658674812297,0.030942009488862082,-0.40966798913072117,-21.42857142857144,-30.110497237569067,3248480.0,6.81,2.43,-62.84875183553598,4.115226337448541
BCM,Bất động sản,65.7,65.5,12800.0,65.7,0.3053435114503955,2025-10-28 10:21:00,intraday,65.63499999999999,67.07,67.068,65.7136536789878,66.50892388607052,48.39521931053506,1.4985488773664213,2.280896312582072,0.13148418070076973,0.06007158227267289,-1.7937219730941756,-6.008583690987123,206750.0,82.4,49.8,-20.266990291262132,31.927710843373514
BID,Tài chính,37.05,36.5,1166200.0,37.05,1.5068493150684814,2025-10-28 10:21:00,intraday,38.8195,40.09362,38.22654,38.42047015546496,39.15005453320329,36.88981534247008,0.8941594391690009,2.4133858007260485,-0.2528194668485666,-1.1589099612284874,-6.344792719919123,0.7039765159957634,3895195.0,44.604,30.857,-16.935700834005928,20.070000324075576
BMP,Nguyên vật liệu,168.1,167.0,30700.0,168.1,0.6586826347305452,2025-10-28 10:07:00,intraday,152.57999999999998,148.234,134.24185,157.16325942799287,150.3226968171508,62.729858807691116,5.572161565463407,3.3147897474499746,2.2336463191719966,1.2196453495759625,17.224546722454658,19.474058280028437,135720.0,178.0,95.931,-5.561797752808994,75.23011331060867
BSI,Tài chính,42.8,42.65,57700.0,42.95,0.703399765533419,2025-10-28 10:21:00,intraday,44.065,47.857,45.267025000000004,43.78199507816037,45.75189529884745,41.8287871860027,1.4580757123068717,3.406718953988018,-0.02052571156772154,-0.5592848773892017,-8.644610458911428,-7.359307359307376,793275.0,58.3,37.955,-26.586620926243565,12.765116585430114
