Ticker,Sector,LastPrice,LastClose,PriceSource,Buy_1,Buy_2,Buy_3,Sell_1,Sell_2,Sell_3
AAA,Nguyên vật liệu,7.63,7.63,intraday,7.4011,7.4774,7.5537,7.7826,7.9352,8.0878
ACB,Tài chính,25.3,25.3,intraday,24.541,24.794,25.047,25.806,26.312,26.818
AGG,Bất động sản,16.2,16.2,intraday,15.714,15.876,16.038,16.524,16.848,17.172
ANV,Hàng tiêu dùng thiết yếu,28.95,28.95,intraday,28.0815,28.371,28.6605,29.529,30.108,30.687
ASM,Hàng tiêu dùng thiết yếu,6.86,6.86,intraday,6.6542,6.7228,6.7914,6.9972,7.1344,7.2716
BCG,Công nghiệp,2.53,2.53,close,2.4541,2.4794,2.5047,2.5806,2.6312,2.6818
BCM,Bất động sản,65.8,65.8,intraday,63.826,64.484,65.142,67.116,68.432,69.748
BID,Tài chính,37.1,37.1,intraday,35.987,36.358,36.729,37.842,38.584,39.326
BMP,Nguyên vật liệu,168.8,168.8,intraday,163.736,165.424,167.112,172.176,175.552,178.928
BSI,Tài chính,42.95,42.95,intraday,41.6615,42.091,42.5205,43.809,44.668,45.527
BVH,Tài chính,49.8,49.8,intraday,48.306,48.804,49.302,50.796,51.792,52.788
BWE,Dịch vụ tiện ích,47.9,47.9,intraday,46.463,46.942,47.421,48.858,49.816,50.774
CII,Công nghiệp,24.9,24.9,intraday,24.153,24.402,24.651,25.398,25.896,26.394
CMG,Công nghệ thông tin,39.6,39.6,intraday,38.412,38.808,39.204,40.392,41.184,41.976
CRE,Bất động sản,9.55,9.55,intraday,9.2635,9.359,9.4545,9.741,9.932,10.123
CTD,Công nghiệp,93.3,93.3,intraday,90.501,91.434,92.367,95.166,97.032,98.898
CTG,Tài chính,48.8,48.8,intraday,47.336,47.824,48.312,49.776,50.752,51.728
CTR,Công nghiệp,90.4,90.4,intraday,87.688,88.592,89.496,92.208,94.016,95.824
DBC,Hàng tiêu dùng thiết yếu,25.75,25.75,intraday,24.9775,25.235,25.4925,26.265,26.78,27.295
DCM,Nguyên vật liệu,34.75,34.75,intraday,33.7075,34.055,34.4025,35.445,36.14,36.835
DGC,Nguyên vật liệu,93.9,93.9,intraday,91.083,92.022,92.961,95.778,97.656,99.534
DGW,Công nghệ thông tin,40.0,40.0,intraday,38.8,39.2,39.6,40.8,41.6,42.4
DHC,Nguyên vật liệu,34.95,34.95,intraday,33.9015,34.251,34.6005,35.649,36.348,37.047
DIG,Bất động sản,20.9,20.9,intraday,20.273,20.482,20.691,21.318,21.736,22.154
DPM,Nguyên vật liệu,23.65,23.65,intraday,22.9405,23.177,23.4135,24.123,24.596,25.069
DXG,Bất động sản,20.75,20.75,intraday,20.1275,20.335,20.5425,21.165,21.58,21.995
DXS,Bất động sản,10.6,10.6,intraday,10.282,10.388,10.494,10.812,11.024,11.236
EIB,Tài chính,22.85,22.85,intraday,22.1645,22.393,22.6215,23.307,23.764,24.221
EVF,Tài chính,12.9,12.9,intraday,12.513,12.642,12.771,13.158,13.416,13.674
FPT,Công nghệ thông tin,101.9,101.9,intraday,98.843,99.862,100.881,103.938,105.976,108.014
FRT,Hàng tiêu dùng không thiết yếu,146.9,146.9,intraday,142.493,143.962,145.431,149.838,152.776,155.714
FTS,Tài chính,35.4,35.4,intraday,34.338,34.692,35.046,36.108,36.816,37.524
GAS,Dịch vụ tiện ích,59.9,59.9,intraday,58.103,58.702,59.301,61.098,62.296,63.494
GEX,Công nghiệp,50.2,50.2,intraday,48.694,49.196,49.698,51.204,52.208,53.212
GMD,Công nghiệp,65.9,65.9,intraday,63.923,64.582,65.241,67.218,68.536,69.854
GVR,Nguyên vật liệu,27.6,27.6,intraday,26.772,27.048,27.324,28.152,28.704,29.256
HAG,Hàng tiêu dùng thiết yếu,15.8,15.8,intraday,15.326,15.484,15.642,16.116,16.432,16.748
HCM,Tài chính,24.0,24.0,intraday,23.28,23.52,23.76,24.48,24.96,25.44
HDB,Tài chính,31.95,31.95,intraday,30.9915,31.311,31.6305,32.589,33.228,33.867
HDC,Bất động sản,34.0,34.0,intraday,32.98,33.32,33.66,34.68,35.36,36.04
HDG,Công nghiệp,31.0,31.0,intraday,30.07,30.38,30.69,31.62,32.24,32.86
HHV,Công nghiệp,14.65,14.65,intraday,14.2105,14.357,14.5035,14.943,15.236,15.529
HPG,Nguyên vật liệu,26.75,26.75,intraday,25.9475,26.215,26.4825,27.285,27.82,28.355
HSG,Nguyên vật liệu,16.8,16.8,intraday,16.296,16.464,16.632,17.136,17.472,17.808
HT1,Nguyên vật liệu,16.85,16.85,intraday,16.3445,16.513,16.6815,17.187,17.524,17.861
IDC,Bất động sản,36.8,36.8,intraday,35.696,36.064,36.432,37.536,38.272,39.008
IMP,Y tế,48.9,48.9,intraday,47.433,47.922,48.411,49.878,50.856,51.834
KBC,Bất động sản,34.65,34.65,intraday,33.6105,33.957,34.3035,35.343,36.036,36.729
KDC,Hàng tiêu dùng thiết yếu,51.7,51.7,intraday,50.149,50.666,51.183,52.734,53.768,54.802
KDH,Bất động sản,33.3,33.1,intraday,32.301,32.634,32.967,33.966,34.632,35.298
KOS,Bất động sản,38.65,38.65,intraday,37.4905,37.877,38.2635,39.423,40.196,40.969
LPB,Tài chính,53.1,53.1,intraday,51.507,52.038,52.569,54.162,55.224,56.286
MBB,Tài chính,23.95,23.95,intraday,23.2315,23.471,23.7105,24.429,24.908,25.387
MSB,Tài chính,12.1,12.1,intraday,11.737,11.858,11.979,12.342,12.584,12.826
MSN,Hàng tiêu dùng thiết yếu,78.9,78.9,intraday,76.533,77.322,78.111,80.478,82.056,83.634
MWG,Hàng tiêu dùng không thiết yếu,84.3,84.3,intraday,81.771,82.614,83.457,85.986,87.672,89.358
NKG,Nguyên vật liệu,16.15,16.15,intraday,15.6655,15.827,15.9885,16.473,16.796,17.119
NLG,Bất động sản,36.55,36.55,intraday,35.4535,35.819,36.1845,37.281,38.012,38.743
NT2,Dịch vụ tiện ích,23.15,23.15,intraday,22.4555,22.687,22.9185,23.613,24.076,24.539
OCB,Tài chính,13.05,13.05,intraday,12.6585,12.789,12.9195,13.311,13.572,13.833
PAN,Hàng tiêu dùng thiết yếu,31.1,31.1,intraday,30.167,30.478,30.789,31.722,32.344,32.966
PC1,Công nghiệp,22.35,22.35,intraday,21.6795,21.903,22.1265,22.797,23.244,23.691
PDR,Bất động sản,22.7,22.7,intraday,22.019,22.246,22.473,23.154,23.608,24.062
PHR,Nguyên vật liệu,54.0,54.0,intraday,52.38,52.92,53.46,55.08,56.16,57.24
PLX,Năng lượng,34.1,34.1,intraday,33.077,33.418,33.759,34.782,35.464,36.146
PNJ,Hàng tiêu dùng không thiết yếu,94.0,94.0,intraday,91.18,92.12,93.06,95.88,97.76,99.64
POW,Dịch vụ tiện ích,13.8,13.8,intraday,13.386,13.524,13.662,14.076,14.352,14.628
PPC,Dịch vụ tiện ích,10.2,10.2,intraday,9.894,9.996,10.098,10.404,10.608,10.812
PTB,Công nghiệp,51.5,51.5,intraday,49.955,50.47,50.985,52.53,53.56,54.59
PVD,Năng lượng,20.2,20.2,intraday,19.594,19.796,19.998,20.604,21.008,21.412
PVT,Năng lượng,17.35,17.35,intraday,16.8295,17.003,17.1765,17.697,18.044,18.391
REE,Công nghiệp,63.2,63.2,intraday,61.304,61.936,62.568,64.464,65.728,66.992
SAB,Hàng tiêu dùng thiết yếu,45.5,45.5,intraday,44.135,44.59,45.045,46.41,47.32,48.23
SBT,Hàng tiêu dùng thiết yếu,25.2,25.2,intraday,24.444,24.696,24.948,25.704,26.208,26.712
SCS,Công nghiệp,54.9,54.9,intraday,53.253,53.802,54.351,55.998,57.096,58.194
SHB,Tài chính,16.3,16.3,intraday,15.811,15.974,16.137,16.626,16.952,17.278
SJS,Bất động sản,63.0,63.0,intraday,61.11,61.74,62.37,64.26,65.52,66.78
SSB,Tài chính,17.7,17.7,intraday,17.169,17.346,17.523,18.054,18.408,18.762
SSI,Tài chính,35.9,35.9,intraday,34.823,35.182,35.541,36.618,37.336,38.054
STB,Tài chính,55.5,55.5,intraday,53.835,54.39,54.945,56.61,57.72,58.83
SZC,Công nghiệp,30.25,30.25,intraday,29.3425,29.645,29.9475,30.855,31.46,32.065
TCB,Tài chính,36.3,36.3,intraday,35.211,35.574,35.937,37.026,37.752,38.478
TCH,Công nghiệp,21.9,21.9,intraday,21.243,21.462,21.681,22.338,22.776,23.214
TLG,Công nghiệp,53.4,53.4,intraday,51.798,52.332,52.866,54.468,55.536,56.604
TPB,Tài chính,17.8,17.8,intraday,17.266,17.444,17.622,18.156,18.512,18.868
VCB,Tài chính,60.1,60.1,intraday,58.297,58.898,59.499,61.302,62.504,63.706
VCG,Công nghiệp,25.75,25.75,intraday,24.9775,25.235,25.4925,26.265,26.78,27.295
VCI,Tài chính,38.1,38.1,intraday,36.957,37.338,37.719,38.862,39.624,40.386
VCS,Bất động sản,47.2,47.2,intraday,45.784,46.256,46.728,48.144,49.088,50.032
VGC,Nguyên vật liệu,47.1,47.1,intraday,45.687,46.158,46.629,48.042,48.984,49.926
VHC,Hàng tiêu dùng thiết yếu,56.0,56.0,intraday,54.32,54.88,55.44,57.12,58.24,59.36
VHM,Bất động sản,106.9,106.9,intraday,103.693,104.762,105.831,109.038,111.176,113.314
VIB,Tài chính,19.1,19.1,intraday,18.527,18.718,18.909,19.482,19.864,20.246
VIC,Bất động sản,219.0,219.0,intraday,212.43,214.62,216.81,223.38,227.76,232.14
VIX,Tài chính,31.8,31.8,intraday,30.846,31.164,31.482,32.436,33.072,33.708
VJC,Công nghiệp,187.5,187.5,intraday,181.875,183.75,185.625,191.25,195.0,198.75
VND,Tài chính,20.7,20.7,intraday,20.079,20.286,20.493,21.114,21.528,21.942
VNM,Hàng tiêu dùng thiết yếu,57.2,57.2,intraday,55.484,56.056,56.628,58.344,59.488,60.632
VPB,Tài chính,29.35,29.35,intraday,28.4695,28.763,29.0565,29.937,30.524,31.111
VPI,Bất động sản,54.8,54.8,intraday,53.156,53.704,54.252,55.896,56.992,58.088
VRE,Bất động sản,36.7,36.7,intraday,35.599,35.966,36.333,37.434,38.168,38.902
VSH,Dịch vụ tiện ích,43.9,43.9,intraday,42.583,43.022,43.461,44.778,45.656,46.534
