Ticker,Sector,LastPrice,LastClose,PriceSource,Buy_1,Buy_2,Buy_3,Sell_1,Sell_2,Sell_3
AAA,Nguyên vật liệu,8.04,8.04,intraday,7.9194,7.7988,7.638,8.2008,8.3214,8.442
ACB,Tài chính,25.4,25.4,intraday,25.019,24.638,24.13,25.908,26.289,26.67
AGG,Bất động sản,16.45,16.45,intraday,16.2032,15.9565,15.6275,16.779,17.0258,17.2725
ANV,Hàng tiêu dùng thiết yếu,29.6,29.6,intraday,29.156,28.712,28.12,30.192,30.636,31.08
ASM,Hàng tiêu dùng thiết yếu,7.02,7.02,intraday,6.9147,6.8094,6.669,7.1604,7.2657,7.371
BCG,Công nghiệp,2.53,2.53,close,2.492,2.4541,2.4035,2.5806,2.6185,2.6565
BCM,Bất động sản,66.7,66.7,intraday,65.6995,64.699,63.365,68.034,69.0345,70.035
BID,Tài chính,37.8,37.8,intraday,37.233,36.666,35.91,38.556,39.123,39.69
BMP,Nguyên vật liệu,170.0,170.0,intraday,167.45,164.9,161.5,173.4,175.95,178.5
BSI,Tài chính,42.4,42.4,intraday,41.764,41.128,40.28,43.248,43.884,44.52
BVH,Tài chính,50.2,50.2,intraday,49.447,48.694,47.69,51.204,51.957,52.71
BWE,Dịch vụ tiện ích,49.9,49.9,intraday,49.1515,48.403,47.405,50.898,51.6465,52.395
CII,Công nghiệp,25.05,25.05,intraday,24.6742,24.2985,23.7975,25.551,25.9267,26.3025
CMG,Công nghệ thông tin,39.8,39.8,intraday,39.203,38.606,37.81,40.596,41.193,41.79
CRE,Bất động sản,9.48,9.48,intraday,9.3378,9.1956,9.006,9.6696,9.8118,9.954
CTD,Công nghiệp,99.8,99.8,intraday,98.303,96.806,94.81,101.796,103.293,104.79
CTG,Tài chính,49.65,49.65,intraday,48.9052,48.1605,47.1675,50.643,51.3877,52.1325
CTR,Công nghiệp,91.8,91.8,intraday,90.423,89.046,87.21,93.636,95.013,96.39
DBC,Hàng tiêu dùng thiết yếu,26.75,26.75,intraday,26.3488,25.9475,25.4125,27.285,27.6862,28.0875
DCM,Nguyên vật liệu,35.2,35.2,intraday,34.672,34.144,33.44,35.904,36.432,36.96
DGC,Nguyên vật liệu,94.4,94.4,intraday,92.984,91.568,89.68,96.288,97.704,99.12
DGW,Công nghệ thông tin,39.8,39.8,intraday,39.203,38.606,37.81,40.596,41.193,41.79
DHC,Nguyên vật liệu,35.2,35.2,intraday,34.672,34.144,33.44,35.904,36.432,36.96
DIG,Bất động sản,21.15,21.15,intraday,20.8327,20.5155,20.0925,21.573,21.8902,22.2075
DPM,Nguyên vật liệu,23.95,23.95,intraday,23.5908,23.2315,22.7525,24.429,24.7882,25.1475
DXG,Bất động sản,20.95,20.95,intraday,20.6357,20.3215,19.9025,21.369,21.6832,21.9975
DXS,Bất động sản,11.0,11.0,intraday,10.835,10.67,10.45,11.22,11.385,11.55
EIB,Tài chính,23.2,23.2,intraday,22.852,22.504,22.04,23.664,24.012,24.36
EVF,Tài chính,13.05,13.05,intraday,12.8542,12.6585,12.3975,13.311,13.5068,13.7025
FPT,Công nghệ thông tin,101.7,101.7,intraday,100.1745,98.649,96.615,103.734,105.2595,106.785
FRT,Hàng tiêu dùng không thiết yếu,145.0,145.0,intraday,142.825,140.65,137.75,147.9,150.075,152.25
FTS,Tài chính,34.75,34.75,intraday,34.2288,33.7075,33.0125,35.445,35.9662,36.4875
GAS,Dịch vụ tiện ích,60.2,60.2,intraday,59.297,58.394,57.19,61.404,62.307,63.21
GEX,Công nghiệp,50.9,50.9,intraday,50.1365,49.373,48.355,51.918,52.6815,53.445
GMD,Công nghiệp,69.2,69.2,intraday,68.162,67.124,65.74,70.584,71.622,72.66
GVR,Nguyên vật liệu,28.1,28.1,intraday,27.6785,27.257,26.695,28.662,29.0835,29.505
HAG,Hàng tiêu dùng thiết yếu,16.95,16.95,intraday,16.6958,16.4415,16.1025,17.289,17.5432,17.7975
HCM,Tài chính,24.0,24.0,intraday,23.64,23.28,22.8,24.48,24.84,25.2
HDB,Tài chính,33.4,33.4,intraday,32.899,32.398,31.73,34.068,34.569,35.07
HDC,Bất động sản,34.0,34.0,intraday,33.49,32.98,32.3,34.68,35.19,35.7
HDG,Công nghiệp,30.9,30.9,intraday,30.4365,29.973,29.355,31.518,31.9815,32.445
HHV,Công nghiệp,14.9,14.9,intraday,14.6765,14.453,14.155,15.198,15.4215,15.645
HPG,Nguyên vật liệu,27.25,27.25,intraday,26.8412,26.4325,25.8875,27.795,28.2038,28.6125
HSG,Nguyên vật liệu,17.0,17.0,intraday,16.745,16.49,16.15,17.34,17.595,17.85
HT1,Nguyên vật liệu,17.2,17.2,intraday,16.942,16.684,16.34,17.544,17.802,18.06
IDC,Bất động sản,37.9,37.9,intraday,37.3315,36.763,36.005,38.658,39.2265,39.795
IMP,Y tế,48.8,48.8,intraday,48.068,47.336,46.36,49.776,50.508,51.24
KBC,Bất động sản,35.05,35.05,intraday,34.5242,33.9985,33.2975,35.751,36.2767,36.8025
KDC,Hàng tiêu dùng thiết yếu,52.0,52.0,intraday,51.22,50.44,49.4,53.04,53.82,54.6
KDH,Bất động sản,34.4,34.4,intraday,33.884,33.368,32.68,35.088,35.604,36.12
KOS,Bất động sản,38.7,38.7,intraday,38.1195,37.539,36.765,39.474,40.0545,40.635
LPB,Tài chính,53.9,53.9,intraday,53.0915,52.283,51.205,54.978,55.7865,56.595
MBB,Tài chính,24.35,24.35,intraday,23.9848,23.6195,23.1325,24.837,25.2022,25.5675
MSB,Tài chính,12.55,12.55,intraday,12.3618,12.1735,11.9225,12.801,12.9892,13.1775
MSN,Hàng tiêu dùng thiết yếu,79.2,79.2,intraday,78.012,76.824,75.24,80.784,81.972,83.16
MWG,Hàng tiêu dùng không thiết yếu,84.1,84.1,intraday,82.8385,81.577,79.895,85.782,87.0435,88.305
NKG,Nguyên vật liệu,16.25,16.25,intraday,16.0062,15.7625,15.4375,16.575,16.8187,17.0625
NLG,Bất động sản,38.45,38.45,intraday,37.8732,37.2965,36.5275,39.219,39.7958,40.3725
NT2,Dịch vụ tiện ích,24.9,24.9,intraday,24.5265,24.153,23.655,25.398,25.7715,26.145
OCB,Tài chính,13.55,13.55,intraday,13.3468,13.1435,12.8725,13.821,14.0242,14.2275
PAN,Hàng tiêu dùng thiết yếu,31.2,31.2,intraday,30.732,30.264,29.64,31.824,32.292,32.76
PC1,Công nghiệp,23.2,23.2,intraday,22.852,22.504,22.04,23.664,24.012,24.36
PDR,Bất động sản,23.0,23.0,intraday,22.655,22.31,21.85,23.46,23.805,24.15
PHR,Nguyên vật liệu,55.9,55.9,intraday,55.0615,54.223,53.105,57.018,57.8565,58.695
PLX,Năng lượng,34.5,34.5,intraday,33.9825,33.465,32.775,35.19,35.7075,36.225
PNJ,Hàng tiêu dùng không thiết yếu,95.5,95.5,intraday,94.0675,92.635,90.725,97.41,98.8425,100.275
POW,Dịch vụ tiện ích,14.3,14.3,intraday,14.0855,13.871,13.585,14.586,14.8005,15.015
PPC,Dịch vụ tiện ích,10.3,10.3,intraday,10.1455,9.991,9.785,10.506,10.6605,10.815
PTB,Công nghiệp,52.2,52.2,intraday,51.417,50.634,49.59,53.244,54.027,54.81
PVD,Năng lượng,20.45,20.45,intraday,20.1432,19.8365,19.4275,20.859,21.1658,21.4725
PVT,Năng lượng,17.65,17.65,intraday,17.3852,17.1205,16.7675,18.003,18.2677,18.5325
REE,Công nghiệp,64.5,64.5,intraday,63.5325,62.565,61.275,65.79,66.7575,67.725
SAB,Hàng tiêu dùng thiết yếu,45.75,45.75,intraday,45.0638,44.3775,43.4625,46.665,47.3512,48.0375
SBT,Hàng tiêu dùng thiết yếu,25.4,25.4,intraday,25.019,24.638,24.13,25.908,26.289,26.67
SCS,Công nghiệp,55.2,55.2,intraday,54.372,53.544,52.44,56.304,57.132,57.96
SHB,Tài chính,16.8,16.8,intraday,16.548,16.296,15.96,17.136,17.388,17.64
SJS,Bất động sản,62.9,62.9,intraday,61.9565,61.013,59.755,64.158,65.1015,66.045
SSB,Tài chính,17.95,17.95,intraday,17.6808,17.4115,17.0525,18.309,18.5782,18.8475
SSI,Tài chính,35.6,35.6,intraday,35.066,34.532,33.82,36.312,36.846,37.38
STB,Tài chính,57.2,57.2,intraday,56.342,55.484,54.34,58.344,59.202,60.06
SZC,Công nghiệp,31.0,31.0,intraday,30.535,30.07,29.45,31.62,32.085,32.55
TCB,Tài chính,36.4,36.4,intraday,35.854,35.308,34.58,37.128,37.674,38.22
TCH,Công nghiệp,22.2,22.2,intraday,21.867,21.534,21.09,22.644,22.977,23.31
TLG,Công nghiệp,54.4,54.4,intraday,53.584,52.768,51.68,55.488,56.304,57.12
TPB,Tài chính,18.15,18.15,intraday,17.8778,17.6055,17.2425,18.513,18.7852,19.0575
VCB,Tài chính,60.7,60.7,intraday,59.7895,58.879,57.665,61.914,62.8245,63.735
VCG,Công nghiệp,26.25,26.25,intraday,25.8562,25.4625,24.9375,26.775,27.1688,27.5625
VCI,Tài chính,37.85,37.85,intraday,37.2822,36.7145,35.9575,38.607,39.1747,39.7425
VCS,Bất động sản,47.6,47.6,intraday,46.886,46.172,45.22,48.552,49.266,49.98
VGC,Nguyên vật liệu,48.1,48.1,intraday,47.3785,46.657,45.695,49.062,49.7835,50.505
VHC,Hàng tiêu dùng thiết yếu,58.3,58.3,intraday,57.4255,56.551,55.385,59.466,60.3405,61.215
VHM,Bất động sản,103.8,103.8,intraday,102.243,100.686,98.61,105.876,107.433,108.99
VIB,Tài chính,19.0,19.0,intraday,18.715,18.43,18.05,19.38,19.665,19.95
VIC,Bất động sản,212.0,212.0,intraday,208.82,205.64,201.4,216.24,219.42,222.6
VIX,Tài chính,31.5,31.5,intraday,31.0275,30.555,29.925,32.13,32.6025,33.075
VJC,Công nghiệp,195.1,195.1,intraday,192.1735,189.247,185.345,199.002,201.9285,204.855
VND,Tài chính,20.5,20.5,intraday,20.1925,19.885,19.475,20.91,21.2175,21.525
VNM,Hàng tiêu dùng thiết yếu,57.5,57.5,intraday,56.6375,55.775,54.625,58.65,59.5125,60.375
VPB,Tài chính,29.85,29.85,intraday,29.4022,28.9545,28.3575,30.447,30.8948,31.3425
VPI,Bất động sản,56.7,56.7,intraday,55.8495,54.999,53.865,57.834,58.6845,59.535
VRE,Bất động sản,35.95,35.95,intraday,35.4108,34.8715,34.1525,36.669,37.2082,37.7475
VSH,Dịch vụ tiện ích,44.0,44.0,intraday,43.34,42.68,41.8,44.88,45.54,46.2
