Ticker,Sector,LastPrice,LastClose,PriceSource,Buy_1,Buy_2,Sell_1,Sell_2,Sell_3
AAA,Nguyên vật liệu,7.52,7.53,intraday,7.4448,7.52,7.7456,7.896,8.1216
ACB,Tài chính,25.1,25.1,intraday,24.849,25.1,25.853,26.355,27.108
AGG,Bất động sản,15.85,15.85,intraday,15.6915,15.85,16.3255,16.6425,17.118
ANV,Hàng tiêu dùng thiết yếu,27.75,27.85,intraday,27.4725,27.75,28.5825,29.1375,29.97
ASM,Hàng tiêu dùng thiết yếu,6.74,6.76,intraday,6.6726,6.74,6.9422,7.077,7.2792
BCG,Công nghiệp,2.53,2.53,close,2.5047,2.53,2.6059,2.6565,2.7324
BCM,Bất động sản,65.2,65.0,intraday,64.548,65.2,67.156,68.46,70.416
BID,Tài chính,36.65,36.7,intraday,36.2835,36.65,37.7495,38.4825,39.582
BMP,Nguyên vật liệu,167.1,167.1,intraday,165.429,167.1,172.113,175.455,180.468
BSI,Tài chính,41.95,42.1,intraday,41.5305,41.95,43.2085,44.0475,45.306
BVH,Tài chính,49.35,49.35,intraday,48.8565,49.35,50.8305,51.8175,53.298
BWE,Dịch vụ tiện ích,47.9,47.95,intraday,47.421,47.9,49.337,50.295,51.732
CII,Công nghiệp,23.9,23.7,intraday,23.661,23.9,24.617,25.095,25.812
CMG,Công nghệ thông tin,39.5,39.55,intraday,39.105,39.5,40.685,41.475,42.66
CRE,Bất động sản,9.5,9.5,intraday,9.405,9.5,9.785,9.975,10.26
CTD,Công nghiệp,85.5,85.3,intraday,84.645,85.5,88.065,89.775,92.34
CTG,Tài chính,47.8,47.85,intraday,47.322,47.8,49.234,50.19,51.624
CTR,Công nghiệp,88.4,88.5,intraday,87.516,88.4,91.052,92.82,95.472
DBC,Hàng tiêu dùng thiết yếu,25.35,25.45,intraday,25.0965,25.35,26.1105,26.6175,27.378
DCM,Nguyên vật liệu,34.2,34.2,intraday,33.858,34.2,35.226,35.91,36.936
DGC,Nguyên vật liệu,93.3,93.3,intraday,92.367,93.3,96.099,97.965,100.764
DGW,Công nghệ thông tin,38.5,38.55,intraday,38.115,38.5,39.655,40.425,41.58
DHC,Nguyên vật liệu,34.7,34.75,intraday,34.353,34.7,35.741,36.435,37.476
DIG,Bất động sản,19.8,19.65,intraday,19.602,19.8,20.394,20.79,21.384
DPM,Nguyên vật liệu,23.35,23.35,intraday,23.1165,23.35,24.0505,24.5175,25.218
