Ticker,Quantity,Price,Value_k,Weight,Sector,ADTV20_k,DaysToLiq,ATR14_Pct,Beta60D,PosCapExceeded
ANV,1500.0,30.85,46275.0,0.019642435096555465,Hàng tiêu dùng thiết yếu,102054171.0,0.0022671782812287013,4.18,1.1476,False
CTG,5200.0,50.8,264160.0,0.11212848525350819,Tài chính,444129608.5,0.002973906658600988,2.62,1.0852,True
GAS,12.0,60.1,721.2,0.00030612910192621935,Dịch vụ tiện ích,43355550.0,8.317274259004903e-05,1.61,0.3779,False
GEX,2000.0,52.5,105000.0,0.044569544789591,Công nghiệp,434245556.84,0.001208993371907865,4.44,1.3119,False
GMD,300.0,65.9,19770.0,0.008391808576097278,Công nghiệp,193606869.0,0.0005105707277359048,3.19,0.8946,False
HPG,20200.0,27.65,558530.0,0.23708026525076442,Nguyên vật liệu,1815793297.75,0.0015379779204276445,2.81,1.0401,True
IMP,800.0,52.5,42000.0,0.017827817915836403,Y tế,3127418.5,0.0671480327944597,1.88,0.0163,False
MBB,2592.0,26.55,68817.6,0.02921113433821103,Tài chính,654222226.0,0.0005259497252237958,2.54,1.4057,False
MSN,200.0,80.0,16000.0,0.006791549682223391,Hàng tiêu dùng thiết yếu,695382164.0,0.000115044653345466,2.68,1.2092,False
MWG,3900.0,77.0,300300.0,0.12746889809823025,Hàng tiêu dùng không thiết yếu,592735101.5,0.002533172063203684,2.59,1.2461,True
PNJ,800.0,83.0,66400.0,0.02818493118122707,Hàng tiêu dùng không thiết yếu,39370305.22,0.008432751489854973,1.8,0.3556,False
PVT,5400.0,17.75,95850.0,0.0406856273150695,Năng lượng,65147422.25,0.007356392370536195,2.48,0.3921,False
REE,1800.0,64.5,116100.0,0.04928118238163348,Công nghiệp,48799096.5,0.011895712044586726,2.13,0.4846,False
STB,400.0,57.0,22800.0,0.009677958297168332,Tài chính,492858217.0,0.00023130384371779683,3.18,1.1782,False
TCB,3500.0,38.35,134225.0,0.056974734756027164,Tài chính,640727982.91,0.0010474413759048661,2.33,1.4296,False
VCG,2000.0,27.25,54500.0,0.023133716105073424,Công nghiệp,354865989.0,0.0007678955111136334,3.53,1.0323,False
VIC,200.0,176.5,35300.0,0.014983856486405355,Bất động sản,470060978.0,0.0003754831995435281,4.17,0.8049,False
VIX,2200.0,35.5,78100.0,0.03315125188635293,Tài chính,1153511709.0,0.000338531457421036,4.84,1.9204,False
VNM,5400.0,61.3,331020.0,0.14050867348809917,Hàng tiêu dùng thiết yếu,330325190.0,0.005010517060476072,2.14,0.4157,True
