Ticker,Action,Score,above_ma20,above_ma50,rsi,macdh_pos,liq_norm,atr_pct,pnl_pct
ANV,take_profit,1.223,1.0,1.0,68.1,1.0,0.48,0.04,0.081
CTG,hold,1.107,1.0,1.0,52.6,0.0,0.82,0.03,0.012
GAS,exit,0.549,0.0,0.0,32.2,0.0,0.31,0.02,-0.081
GEX,hold,0.611,0.0,0.0,45.7,0.0,0.81,0.04,-0.023
GMD,trim,0.797,0.0,1.0,42.9,0.0,0.66,0.03,0.034
HPG,trim,0.566,0.0,0.0,42.8,0.0,1.00,0.03,-0.033
IMP,trim,0.367,0.0,0.0,42.5,0.0,0.01,0.02,-0.023
MBB,take_profit,1.011,0.0,1.0,52.0,0.0,0.92,0.03,0.128
MSN,trim,0.546,0.0,0.0,42.2,0.0,0.93,0.03,-0.045
MWG,hold,0.877,0.0,1.0,52.0,0.0,0.89,0.03,-0.005
PNJ,exit,0.517,0.0,0.0,40.3,0.0,0.27,0.02,-0.036
PVT,trim,0.381,0.0,0.0,41.0,0.0,0.42,0.02,-0.042
REE,exit,0.535,0.0,0.0,39.6,0.0,0.32,0.02,-0.052
STB,hold,1.214,1.0,1.0,54.3,1.0,0.85,0.03,0.038
TCB,take_profit,1.175,1.0,1.0,55.5,1.0,0.91,0.02,0.035
VCG,hold,1.021,1.0,1.0,53.6,0.0,0.77,0.04,0.024
VIC,take_profit,1.121,1.0,1.0,79.1,1.0,0.84,0.04,0.125
VIX,hold,0.995,0.0,1.0,50.9,0.0,0.97,0.05,-0.019
VNM,hold,0.657,0.0,0.0,49.4,0.0,0.74,0.02,0.001
HAG,new,1.146,1.0,1.0,57.9,1.0,0.59,0.04,0.000
LPB,new,1.239,1.0,1.0,80.5,1.0,0.51,0.03,0.000
